target,scenario,bin_id,bin_label,f_auc_lag,sii_auc_lag,f_auc_ma,sii_auc_ma,f_delta_acc,sii_delta_acc,delta_acc_diff,auc_ma_ratio
sif_771nm,Control_North,0,Cold,0.0055883511475308,0.066562029590516,0.0016953054267789,0.0726261933120009,-0.0038930457207518,0.0060641637214848,0.0099572094422366,42.83959230284039
sif_771nm,Control_North,1,Cool,0.029353901167869,0.0148988877481166,0.0272261263039946,0.037651697562285,-0.0021277748638744,0.0227528098141684,0.024880584678042803,1.382925251351705
sif_771nm,Control_North,2,Optimum,0.0391327427983328,0.0191805896437297,0.0394766941802998,0.0079503883051833,0.0003439513819669,-0.0112302013385463,-0.0115741527205132,0.20139448021842749
sif_771nm,Control_North,3,Warm_Stress,0.0123172637199512,0.0207139716900616,0.0105340359207098,0.0414245995458532,-0.0017832277992414,0.0207106278557916,0.022493855655033,3.9324528469105453
sif_771nm,Control_North,4,Extreme_Heat,0.0327294483925513,0.0426069814443224,0.0283795959585494,0.0358250066986677,-0.0043498524340019,-0.0067819747456546,-0.0024321223116527003,1.2623508365303333
sif_771nm,Global_High_LAI,0,Cold,0.006037644729906,0.0622736746319883,0.0046636928471517,0.0663347580026232,-0.0013739518827543,0.0040610833706349,0.005435035253389201,14.223654982582405
sif_771nm,Global_High_LAI,1,Cool,0.0239516725188724,0.0118886324996974,0.0223653298377669,0.0280645713135249,-0.0015863426811055,0.0161759388138274,0.017762281494932898,1.2548248345586237
sif_771nm,Global_High_LAI,2,Optimum,0.0029922331301048,0.0232120857183942,0.0016497199089636,0.0318673308180452,-0.0013425132211411,0.008655245099651,0.0099977583207921,19.316812899509195
sif_771nm,Global_High_LAI,3,Warm_Stress,0.0085448181891039,0.0261768171750073,0.0082074835739035,0.0384178168727382,-0.0003373346152003,0.0122409996977308,0.0125783343129311,4.6808277502852915
sif_771nm,Global_High_LAI,4,Extreme_Heat,0.0431307137105011,0.0284461031351802,0.0483216745038247,0.0432730930128478,0.0051909607933236,0.0148269898776675,0.0096360290843439,0.8955213878075086
sif_771nm,SAA_High_LAI,0,Cold,0.0523771957133237,0.020718162967585,0.052046117633747,0.0285267310233895,-0.0003310780795766,0.0078085680558044,0.008139646135381,0.5481048792944472
sif_771nm,SAA_High_LAI,1,Cool,0.0183171234932343,0.015501830707767,0.017220305518563,0.0055485007926637,-0.0010968179746713,-0.0099533299151033,-0.008856511940432,0.32220687296648565
sif_771nm,SAA_High_LAI,2,Optimum,0.0253058082535488,0.0217620425053446,0.0240524023074447,0.0362152166613633,-0.0012534059461041,0.0144531741560187,0.0157065801021228,1.5056798151989153
sif_771nm,SAA_High_LAI,3,Warm_Stress,0.0044831898127813,0.0135765317377962,0.0022401653909041,0.0121100230580102,-0.0022430244218772,-0.0014665086797859,0.0007765157420913001,5.405861150779925
sif_771nm,SAA_High_LAI,4,Extreme_Heat,0.0598752565132669,0.0860732564448391,0.0615726117672814,0.0540699771037576,0.0016973552540144,-0.0320032793410814,-0.0337006345950958,0.8781498064126205
sif_771nm,Sahara_Barren,1,Cool,0.0246770327061725,0.0326036035681075,0.0114357029628363,0.0246895326419384,-0.0132413297433361,-0.0079140709261691,0.005327258817167,2.158986878390803
sif_771nm,Sahara_Barren,2,Optimum,0.0338249971756139,0.0228876977132709,0.0367020808263108,0.0158899304907013,0.0028770836506969,-0.0069977672225695,-0.009874850873266401,0.43294358611161377
sif_771nm,Sahara_Barren,3,Warm_Stress,0.1181806088721983,0.0526868451617089,0.1168310916348424,0.0506004938260668,-0.0013495172373559,-0.0020863513356421,-0.0007368340982861997,0.43310811461232873
sif_771nm,Sahara_Barren,4,Extreme_Heat,0.2884284291837881,0.1040779839090563,0.2536657365583976,0.1035965677668591,-0.0347626926253905,-0.0004814161421971,0.0342812764831934,0.4083979538285402
sif_stress_index,Control_North,0,Cold,0.0619713321289405,0.0245500811456191,0.0620321426875563,0.0397375258865355,6.08105586158425e-05,0.0151874447409163,0.015126634182300458,0.6405957325492624
sif_stress_index,Control_North,1,Cool,0.0622439308620342,0.0130082419290401,0.0620596662361164,0.041154677506349,-0.0001842646259178,0.0281464355773088,0.0283307002032266,0.6631469358821418
