scenario,omni_var,bin_id,bin_label,temp_mean,rho,n_eff,neff_factor,n,p_adj,window,ci_lower,ci_upper,p_fdr,panel
Control_North,sii_mean_ma60,1,Cool,10.881211280822754,-0.0121346181258559,7069.13671875,0.1282895058393478,55103,0.3076746453167311,60,-0.035436959864810574,0.01118091118710755,0.3269043106490268,B
Control_North,sii_mean_ma75,0,Cold,-0.202696606516838,0.0919774025678634,2955.091552734375,0.0460316129028797,64197,5.48659047749922e-07,75,0.056105378247487396,0.12761227210564047,2.528993617911812e-06,B
Control_North,sii_mean_ma75,2,Optimum,19.00745964050293,0.0105626359581947,6638.3447265625,0.1818724572658538,36500,0.3895335059825728,75,-0.0134977415945195,0.03461078890330504,0.4138793501064836,B
Control_North,sii_mean_ma75,4,Extreme_Heat,31.025331497192383,0.046632345765829,280.0277709960937,0.3655714988708496,766,0.436993874724241,75,-0.07097336096322157,0.1629593438255788,0.8165014919288702,B
Control_North,sii_mean_ma75,1,Cool,10.881211280822754,0.0009289671434089,7068.68017578125,0.128281220793724,55103,0.9377568366781572,75,-0.022384636895071093,0.024241561392633726,0.9377568366781572,B
Control_North,sii_mean_ma75,3,Warm_Stress,27.023475646972656,0.0470133870840072,1030.6248779296875,0.2268100529909134,4544,0.1314804408045564,75,-0.014092873489950876,0.10776979089793746,0.15965482097696132,B
Control_North,sii_mean_ma90,2,Optimum,19.00745964050293,6.625070818699896e-05,6638.62451171875,0.1818801164627075,36500,0.9956938838269264,90,-0.023990228258970594,0.02412265299514011,0.9956938838269264,B
Control_North,sii_mean_ma90,0,Cold,-0.202696606516838,0.1528359800577163,2955.091552734375,0.0460316129028797,64197,0.0,90,0.11742500682279483,0.18785879445144452,0.0,B
Control_North,sii_mean_ma90,1,Cool,10.881211280822754,0.0085204690694808,7068.68017578125,0.128281220793724,55103,0.473837904719161,90,-0.014795589158957985,0.031827266194005964,0.4881966291045901,B
Control_North,sii_mean_ma90,3,Warm_Stress,27.023475646972656,0.035117782652378,1031.9638671875,0.2271047234535217,4544,0.2596956002568606,90,-0.025964015543329326,0.09593833153378252,0.2848274325397826,B
Control_North,sii_mean_ma90,4,Extreme_Heat,31.025331497192383,0.0290925167500972,277.7867431640625,0.3626458644866943,766,0.6292385458434833,90,-0.08890223984783845,0.1462820238615692,0.8165014919288702,B
SAA_High_LAI,sii_mean_ma1,0,Cold,3.857533693313599,0.0242876168340444,1895.2891845703125,0.8211824893951416,2308,0.2905947728023474,1,-0.02076162672477565,0.06923843746347871,0.5380273082457768,C
SAA_High_LAI,sii_mean_ma1,1,Cool,11.59565544128418,0.0169917065650224,3150.0361328125,0.3999030292034149,7877,0.3404112700833277,1,-0.017943308328810345,0.051885283455110724,0.44515319933973624,C
SAA_High_LAI,sii_mean_ma1,3,Warm_Stress,26.98417282104492,-0.0042870850302278,3618.009765625,0.2833210527896881,12770,0.7965768632193286,1,-0.036869170812994255,0.02830410573652266,0.8207155560441568,C
SAA_High_LAI,sii_mean_ma1,2,Optimum,20.35358238220215,0.0277161076664924,4528.61328125,0.2381224781274795,19018,0.0621816767365739,1,-0.0014119473417384424,0.05679717134283672,0.06819925835624234,C
SAA_High_LAI,sii_mean_ma1,4,Extreme_Heat,30.856565475463867,-0.0327158719301223,343.8585205078125,0.3799541592597961,905,0.545433469811806,1,-0.13800329189009214,0.07330270739235166,0.7904494032838149,C
SAA_High_LAI,sii_mean_ma2,2,Optimum,20.35358238220215,0.0261223837733268,4244.6025390625,0.2231886982917785,19018,0.0888156623752591,2,-0.003966425195791199,0.05616393569141648,0.0888156623752591,C
SAA_High_LAI,sii_mean_ma2,1,Cool,11.59565544128418,0.016609214246273,2990.26611328125,0.3796199262142181,7877,0.3639152300289563,2,-0.019247609877598805,0.052423368097048666,0.45826362299942647,C
SAA_High_LAI,sii_mean_ma2,3,Warm_Stress,26.98417282104492,-0.0048305578529834,3390.90771484375,0.2655370235443115,12770,0.7785657751600226,2,-0.03848523531450674,0.028835065963235568,0.8207155560441568,C
SAA_High_LAI,sii_mean_ma2,4,Extreme_Heat,30.856565475463867,-0.0547432266175746,338.94537353515625,0.3745252788066864,905,0.3149551123007827,2,-0.16033787736445398,0.05209025824676758,0.6403131291213293,C
SAA_High_LAI,sii_mean_ma2,0,Cold,3.857533693313599,0.0357532612979412,1870.9415283203125,0.8106332421302795,2308,0.1221176306136282,2,-0.009580900901842847,0.08094075224806357,0.5380273082457768,C
SAA_High_LAI,sii_mean_ma3,0,Cold,3.857533693313599,0.0421373397111892,1871.4703369140625,0.8108623623847961,2308,0.0683831499002083,3,-0.003180967558031232,0.08728292093223924,0.5380273082457768,C
SAA_High_LAI,sii_mean_ma3,1,Cool,11.59565544128418,0.0110539551824331,2881.693115234375,0.3658363819122314,7877,0.5530790955936495,3,-0.025470817262154576,0.0475492545679636,0.6268229750061362,C
